SurveyYear,OutputFileName,Section,Question,Type,RecodeFlag,VariableName,Instrument Out Variable Name,FinalDocName,FinalItemText,FinalDocUniverse,FinalDocUniverseDescription,DocSources,DocRecodes,DocKeywords,DocNotes,Qbank,FinalVariableDescription,ResponseCode,ResponseText,,,,,
2017,Sample Child,IDN,IDN.000_00.000,, ,RECTYPE,,RECTYPE,Record Type,,,None,None,None,None,,File type identifier,,,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,10,Household,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,20,Person,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,25,Income Imputation,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,30,Sample Adult,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,38,Functioning and Disability,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,40,Sample Child,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,60,Family,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,63,Family Disability Questions,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,65,Paradata,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,70,Injury/Poisoning Episode,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,75,Injury/Poisoning Verbatim,,,,,
2017,Sample Child,IDN,IDN.000_02.000,, ,SRVY_YR,,SRVY_YR,Survey Year,,,None,None,None,None,,Year of National Health Interview Survey,,,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,, Year,Survey Year,,,,,
2017,Sample Child,IDN,IDN.000_04.000,, ,HHX,,HHX,Household Number,,All households,None,None,household number,Use this variable in combination with SRVY_YR to identify individual households.,,Household Number,,,,,,,
2017,Sample Child,IDN,IDN.000_05.000,, ,CTRLNUM,,FCTRLNUM,Control Number,,All families,None,None,None,Not for public-use release.  Family identifier: this variable identifies individual family.ÿ (Do not confuse this variable with variable CTRLNUM in the previous years.ÿ CTRLNUMÿwas a household identifier.  This variable no longer exists.),,Family identifier,,,,,,,
2017,Sample Child,IDN,IDN.000_15.000,, ,HHID,,HHID,Household ID,,All households,None,None,None,Not for public-use release.,,"HH identifier, first 18 characters of FCTRLNUM",,,,,,,
2017,Sample Child,IDN,IDN.000_20.000,, ,HHLDID,,HHLDID,Household ID,,All households,None,None,None,Not for public-use release.  Use this variable to match to the Unit Control File (UCF).,,"HH identifier, first 17 characters of FCTRLNUM",,,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,ID,Household ID (for merging to UCF),,,,,
2017,Sample Child,IDN,IDN.000_25.000,, ,INTV_QRT,,INTV_QRT,Interview Quarter,,All households,None,None,None,None,,Interview Quarter,,,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,1,Quarter 1,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,2,Quarter 2,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,3,Quarter 3,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,4,Quarter 4,,,,,
2017,Sample Child,IDN,IDN.000_30.000,, ,INTV_MON,,INTV_MON,Interview Month,,All households,None,None,interview month,None,,Assignment/Interview Month,,,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,01,January,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,02,February,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,03,March,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,04,April,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,05,May,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,06,June,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,07,July,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,08,August,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,09,September,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,10,October,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,11,November,,,,,
2017,Sample Child,IDN,,,,,,,,,,,,,,,,12,December,,,,,
