Title,Publication,Date,Category,Link
Appellate court orders Berrios to release assessment information to Tribune,Tribune,6/29/18,Property,http://www.chicagotribune.com/news/ct-met-assessor-berrios-lawsuit-ruling-20180629-story.html
Opioid Crisis Mapping and Collaboration Effort Continues Expanding,GovTech,6/25/18,GIS,http://www.govtech.com/data/Opioid-Crisis-Mapping-and-Collaboration-Effort-Continues-Expanding.html
Opioid Crisis Mapping and Collaboration Effort Continues Expanding,GovTech,6/22/18,GIS,http://www.govtech.com/data/Opioid-Crisis-Mapping-and-Collaboration-Effort-Continues-Expanding.html
Creating Awareness and Action Through Mapping,New America,6/20/18,GIS,https://www.newamerica.org/public-interest-technology/blog/creating-awareness-and-action-through-mapping/
Cook County CIO Simona Rollinson Returns to Private Sector,GovTech,5/24/18,CIO,http://www.govtech.com/civic/Cook-County-CIO-Simona-Rollinson-Returns-to-Private-Sector.html
How Simona Rollinson is Transforming Cook County Technology,WTTW,5/17/18,CIO,https://chicagotonight.wttw.com/2018/05/17/how-simona-rollinson-transforming-cook-county-technology
Partnerships Collaboration a Consistent Theme in Illinois,GovTech,5/9/18,Collaboration,http://www.govtech.com/applications/Partnerships-Collaboration-a-Consistent-Theme-in-Illinois.html
Government data firm Socrata acquired by public-sector software giant Tyler Technologies,StateScoop,4/18/18,Property,https://statescoop.com/government-data-firm-socrata-is-acquired-by-public-sector-software-giant-tyler-technologies
Cook County court clerk asks to push back e-filing deadline a full year,Tribune,12/8/17,Courts,http://www.chicagotribune.com/news/local/politics/ct-met-cook-count-electronic-filing-20171218-story.html
The Tax Divide,Tribune,6/7/17,Property,http://www.chicagotribune.com/news/watchdog/taxdivide/
WannaCry hits Chicago-area county marking first confirmed government infection in U.S.,StateScoop,5/15/17,Security,https://statescoop.com/wannacry-ransomware-infects-first-u-s-government-office
Clerk Orr: Record-setting First Week Of Early Voting Leads To Consolidated Election Record,ENEWSPF,3/31/17,GIS,https://www.enewspf.com/latest-news/latest-local-news/clerk-orr-record-setting-first-week-early-voting-leads-consolidated-election-record/
Staffing the Cloud,GovTech,12/1/16,HR,http://www.govtech.com/Successfully-Staffing-the-Cloud.html
New digital permit service available for unincorporated Cook County ,Daily Herald,11/28/16,GIS,http://www.dailyherald.com/article/20161128/submitted/161129112/
Preckwinkle Announces Cook County’s New Mapping System,ENEWSPF,9/16/16,GIS,https://enewspf.com/2016/09/27/preckwinkle-announces-cook-countys-new-mapping-system/
Cook County recognized for digitial initiatives,Daily Herald,7/21/16,General,http://www.dailyherald.com/article/20160721/news/160729745/
Cook County rolls out a thing of beauty—honest!,Crain's,7/6/16,Website,http://www.chicagobusiness.com/article/20160706/BLOGS02/160709932/cook-county-rolls-out-a-thing-of-beauty-honest
Cook County Unveils Upgraded Government Website,CBS,7/6/16,Website,http://chicago.cbslocal.com/2016/07/06/cook-county-unveils-upgraded-government-website/
Cook County puts services first with new website,Daily Herald,7/6/16,Website,http://www.dailyherald.com/article/20160706/news/160709397/
President Preckwinkle Launches New Cook County Website Focused on Services,Lawndale News,7/6/16,Website,http://www.lawndalenews.com/2016/07/president-preckwinkle-launches-new-cook-county-website-focused-on-services/
Cook County Unveils New Website,WBEZ,7/6/16,Website,https://www.wbez.org/shows/wbez-news/cook-county-unveils-new-website/d624ca96-91ed-479b-97ac-2ab11127b9f2
Chicago business license applications finally going all-online,Tribune,7/1/16,Applications,http://www.chicagotribune.com/bluesky/originals/ct-chicago-business-license-application-online-bsi-20160701-story.html
Cook County Polling Places For March 15th 2016 Presidential Primary – Interactive Map,ENEWSPF,3/7/16,GIS,http://enewspf.com/2016/03/07/cook-county-polling-places-for-march-15-2016-presidential-primary-interactive-map/#sthash.4V5Hiije.dpuf
