"SITE NAME","Location","HOURS OF OPERATION","PHONE","WEBSITE","SERVICES","Type","Status"
"Auburn Gresham Mental Health Clinic","1140 W. 79th St Chicago, IL 60620"," ","(312) 747-0881","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/find_counseling_therapy.html","Mental Health","MHC","Closed on April 30, 2012"
"Lawndale Mental Health Clinic","1201 S. Campbell St Chicago, IL 60608","Mon - Fri: 8:30 am – 4:30 pm","(312) 746-5905","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/find_counseling_therapy.html","Mental Health","MHC","Open"
"Northtown Rogers Park","1607 W. Howard St Chicago, IL 60626"," ","(312) 744-7617","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/find_counseling_therapy.html","Mental Health","MHC","Closed on April 9, 2012"
"Lower West Side Neighborhood Health Clinic","1643 W. Cermak St. Chicago, IL 60608"," ","(312) 747-1650","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html","WIC","WIC","Open"
"Erie Health Center","1701 W. Superior St. Chicago, IL 60610"," ","(312) 432-7372","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html","WIC","WIC","Open"
"Lower West Neighborhood Health Clinic","1713 S. Ashland Ave. Chicago, IL 60608","Mon - Fri: 8:00 am – 4:00 pm.","(312) 746-5157","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/find_a_clinic.html","Adults, Children, Family Case Management, Immigration Physicals, Medication Assistance, Pregnancy Testing, Pregnant Women, Women seeking Birth Control","NHC","Open"
"Beverly Morgan Park Mental Health Clinic","1987 W. 111th St Chicago, IL 60643"," ","(312) 747-1100","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/find_counseling_therapy.html","Mental Health","MHC","Closed on April 30, 2012"
"Roseland Neighborhood Health Clinic","200 E. 115th St. Chicago, IL 60628","Mon, Wed, Fri: 8:00 am – 4:00 pm; Tue, and Thurs: 9:00 am - 5:00pm","Main: (312) 747-9500 WIC: (312) 747-0054 MHC: (312) 747-7320","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/find_a_clinic.html","WIC, Mental Health, Adults, Family Case Management, Medication Assistance","NHC, WIC, MHC","Open"
"Near West","2310 W. Roosevelt Rd. Chicago, IL 60608"," ","(312) 746-8990","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/apply_for_wic_.html","WIC","WIC","Open"
"Northwest Mental Health Clinic","2354 N. Milwaukee Chicago, IL 60647"," ","(312) 744-0993","http://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/clinic/svcs/find_counseling_therapy.html","Mental Health","MHC","Closed on April 9, 2012"
